job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job526,10000000,1,0,86400,32,1609547215,1609549349,1609549381,gpuNode1
job525,10000000,1,0,86400,32,1609547215,1609549352,1609549384,gpuNode1
job524,10000000,1,0,86400,33,1609547215,1609549381,1609549414,gpuNode1
job523,10000000,1,0,86400,32,1609547215,1609549384,1609549416,gpuNode1
job522,10000000,1,0,86400,32,1609547215,1609549414,1609549446,gpuNode1
job521,10000000,1,0,86400,33,1609547215,1609549416,1609549449,gpuNode1
job520,10000000,1,0,86400,33,1609547215,1609549446,1609549479,gpuNode1
job519,10000000,1,0,86400,33,1609547215,1609549449,1609549482,gpuNode1
job557,10000000,1,0,86400,6,1609547330,1609549482,1609549488,gpuNode1
job556,10000000,1,0,86400,6,1609547330,1609549488,1609549494,gpuNode1
job555,10000000,1,0,86400,10,1609547330,1609549494,1609549504,gpuNode1
job518,10000000,1,0,86400,33,1609547215,1609549479,1609549512,gpuNode1
job554,10000000,1,0,86400,10,1609547330,1609549504,1609549514,gpuNode1
job552,10000000,1,0,86400,9,1609547330,1609549512,1609549521,gpuNode1
job551,10000000,1,0,86400,9,1609547330,1609549514,1609549523,gpuNode1
job550,10000000,1,0,86400,10,1609547330,1609549521,1609549531,gpuNode1
job549,10000000,1,0,86400,10,1609547330,1609549523,1609549533,gpuNode1
job548,10000000,1,0,86400,9,1609547330,1609549531,1609549540,gpuNode1
job547,10000000,1,0,86400,9,1609547330,1609549533,1609549542,gpuNode1
job546,10000000,1,0,86400,14,1609547330,1609549540,1609549554,gpuNode1
job544,10000000,1,0,86400,14,1609547330,1609549542,1609549556,gpuNode1
job543,10000000,1,0,86400,14,1609547330,1609549554,1609549568,gpuNode1
job542,10000000,1,0,86400,14,1609547330,1609549556,1609549570,gpuNode1
job540,10000000,1,0,86400,13,1609547330,1609549568,1609549581,gpuNode1
job539,10000000,1,0,86400,13,1609547330,1609549570,1609549583,gpuNode1
