job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job390,5000000,20,0,43200,833,1609536759,1609536759,1609537592,computeNode4
job378,10000000,1,0,82800,987,1609535748,1609537381,1609538368,computeNode4
job379,10000000,1,0,82800,991,1609535748,1609537381,1609538372,computeNode4
job325,20000000,1,0,82800,3975,1609529586,1609535380,1609539355,bigMemNode1
job295,16000000,1,0,86340,23071,1609517076,1609517076,1609540147,computeNode3
job296,16000000,1,0,86340,23113,1609517076,1609517076,1609540189,computeNode4
job326,20000000,1,0,82800,4158,1609529586,1609537381,1609541539,computeNode4
job458,4000000,1,0,3600,54,1609541512,1609541512,1609541566,computeNode3
job459,4000000,1,0,3600,122,1609541877,1609541877,1609541999,computeNode3
job460,8000000,1,0,3600,167,1609542151,1609542151,1609542318,computeNode3
job256,32000000,32,0,216000,3142,1609453797,1609539246,1609542388,computeNode4
job461,8000000,1,0,3600,29,1609542507,1609542507,1609542536,computeNode3
job462,8000000,1,0,3600,33,1609542761,1609542761,1609542794,computeNode3
job426,4000000,1,0,345600,1703,1609539270,1609541512,1609543215,computeNode4
job392,4000000,1,0,345600,4010,1609539246,1609539246,1609543256,computeNode1
job414,4000000,1,0,345600,1827,1609539262,1609541512,1609543339,computeNode4
job420,4000000,1,0,345600,2091,1609539266,1609541512,1609543603,computeNode4
job441,4000000,1,0,345600,2093,1609539281,1609541512,1609543605,computeNode4
job439,4000000,1,0,345600,2121,1609539280,1609541512,1609543633,bigMemNode1
job99,16000000,1,0,345600,266865,1609276862,1609276862,1609543727,bigMemNode1
job472,10000000,1,0,82800,8,1609543881,1609543881,1609543889,computeNode3
job471,10000000,1,0,82800,8,1609543881,1609543881,1609543889,computeNode4
job470,10000000,1,0,82800,8,1609543881,1609543881,1609543889,bigMemNode1
job469,10000000,1,0,82800,8,1609543881,1609543881,1609543889,bigMemNode1
job34,72000000,6,0,1123200,1123226,1608420768,1608420768,1609543968,computeNode1
job408,4000000,1,0,345600,2193,1609539257,1609541877,1609544070,computeNode4
job35,90000000,6,0,1123200,1123225,1608420920,1608420920,1609544120,computeNode1
job432,4000000,1,0,345600,2245,1609539275,1609541877,1609544122,computeNode4
job447,4000000,1,0,345600,2356,1609539285,1609541877,1609544233,computeNode4
job410,4000000,1,0,345600,2361,1609539259,1609541877,1609544238,computeNode4
job415,4000000,1,0,345600,2372,1609539262,1609541877,1609544249,computeNode4
job36,90000000,6,0,1123200,1123222,1608421074,1608421074,1609544274,computeNode1
job37,90000000,6,0,1123200,1123208,1608421448,1608421448,1609544648,computeNode2
job38,90000000,6,0,1123200,1123202,1608421780,1608421780,1609544980,computeNode2
job467,10000000,1,0,82800,800,1609543881,1609544281,1609545081,computeNode1
job468,10000000,1,0,82800,814,1609543881,1609544281,1609545095,computeNode1
job409,4000000,1,0,345600,2592,1609539258,1609542507,1609545099,computeNode4
job455,4000000,1,0,345600,2626,1609539291,1609542507,1609545133,computeNode4
job405,4000000,1,0,345600,2713,1609539255,1609542507,1609545220,computeNode4
job398,4000000,1,0,345600,2751,1609539250,1609542507,1609545258,computeNode4
job464,10000000,1,0,82800,991,1609543881,1609544281,1609545272,computeNode1
job463,10000000,1,0,82800,997,1609543881,1609544281,1609545278,computeNode1
job403,4000000,1,0,345600,2916,1609539254,1609542507,1609545423,computeNode4
job393,4000000,1,0,345600,2924,1609539247,1609542507,1609545431,computeNode4
job431,4000000,1,0,345600,2940,1609539275,1609542507,1609545447,computeNode4
job406,4000000,1,0,345600,2954,1609539256,1609542507,1609545461,computeNode4
job466,10000000,1,0,82800,1520,1609543881,1609544281,1609545801,computeNode1
job465,10000000,1,0,82800,1528,1609543881,1609544281,1609545809,computeNode1
job474,4000000,1,0,345600,2289,1609544282,1609544282,1609546571,computeNode1
job435,4000000,1,0,345600,2974,1609539277,1609543881,1609546855,computeNode1
job448,4000000,1,0,345600,2996,1609539286,1609543881,1609546877,computeNode4
job476,4000000,1,0,345600,2687,1609544283,1609544283,1609546970,computeNode1
job473,4000000,1,0,345600,2755,1609544281,1609544281,1609547036,computeNode1
job537,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job536,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job535,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job528,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode2
job527,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode2
job534,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job532,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job530,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode2
job529,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode2
job531,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job533,10000000,1,0,86400,30,1609547215,1609547215,1609547245,computeNode1
job523,10000000,1,0,86400,32,1609547215,1609547215,1609547247,computeNode2
job522,10000000,1,0,86400,32,1609547215,1609547215,1609547247,computeNode2
job526,10000000,1,0,86400,32,1609547215,1609547215,1609547247,computeNode2
job525,10000000,1,0,86400,32,1609547215,1609547215,1609547247,computeNode2
job520,10000000,1,0,86400,33,1609547215,1609547215,1609547248,computeNode2
job519,10000000,1,0,86400,33,1609547215,1609547215,1609547248,computeNode2
job518,10000000,1,0,86400,33,1609547215,1609547215,1609547248,computeNode4
job524,10000000,1,0,86400,33,1609547215,1609547215,1609547248,computeNode2
job521,10000000,1,0,86400,33,1609547215,1609547215,1609547248,computeNode2
job437,4000000,1,0,345600,3024,1609539279,1609544281,1609547305,computeNode1
job445,4000000,1,0,345600,3035,1609539284,1609544281,1609547316,computeNode1
job557,10000000,1,0,86400,6,1609547330,1609547330,1609547336,computeNode1
job556,10000000,1,0,86400,6,1609547330,1609547330,1609547336,computeNode1
job552,10000000,1,0,86400,9,1609547330,1609547330,1609547339,computeNode1
job548,10000000,1,0,86400,9,1609547330,1609547330,1609547339,computeNode1
job547,10000000,1,0,86400,9,1609547330,1609547330,1609547339,computeNode1
job551,10000000,1,0,86400,9,1609547330,1609547330,1609547339,computeNode1
job550,10000000,1,0,86400,10,1609547330,1609547330,1609547340,computeNode2
job553,10000000,1,0,86400,10,1609547330,1609547330,1609547340,computeNode2
job549,10000000,1,0,86400,10,1609547330,1609547330,1609547340,computeNode2
job555,10000000,1,0,86400,10,1609547330,1609547330,1609547340,computeNode1
