job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job96,2000000,1,0,516600,221423,1609276475,1611057186,1611278609,computeNode1
job97,2000000,1,0,516600,234716,1609276482,1611057186,1611291902,computeNode1
job94,84000000,6,0,518400,240545,1609263108,1611057186,1611297731,computeNode2
job99,16000000,1,0,345600,266865,1609276862,1611057186,1611324051,computeNode2
job89,256000000,1,0,687600,329598,1609166528,1611057186,1611386784,bigMemNode1
job100,200000000,1,0,345600,345618,1609280539,1611057186,1611402786,bigMemNode1
job92,20000000,20,0,518400,404796,1609256221,1611057186,1611461982,bigMemNode2
job84,32000000,32,0,864000,464862,1609039644,1611057186,1611522048,computeNode4
job87,32000000,32,0,864000,513828,1609039644,1611057186,1611571014,computeNode3
job83,20000000,20,0,518400,518401,1608994639,1611057186,1611575586,computeNode1
job91,128000000,16,0,536400,536409,1609176238,1611057186,1611593586,computeNode5
job88,128000000,16,0,536400,536428,1609044731,1611057186,1611593586,computeNode5
job85,32000000,32,0,864000,554649,1609039644,1611057186,1611611835,computeNode4
job90,72000000,6,0,604800,562424,1609172249,1611057186,1611619610,computeNode2
job86,32000000,32,0,864000,682906,1609039644,1611057186,1611740092,computeNode3
job77,50000000,50,0,691200,691222,1608871284,1611057186,1611748386,computeNode2
job68,8000000,8,1,1200600,1200613,1608665529,1610698099,1611898699,gpuNode1
job69,8000000,8,1,1200600,1200626,1608665607,1610799103,1611999703,gpuNode1
job70,8000000,8,1,1200600,1200617,1608665705,1610799103,1611999703,gpuNode1
job71,8000000,8,1,1200600,1200613,1608665769,1610852617,1612053217,gpuNode1
job76,128000000,8,0,1209600,1067229,1608667431,1611057186,1612124415,computeNode1
job72,8000000,8,1,1200600,1200603,1608665929,1611056688,1612257288,gpuNode1
job73,8000000,8,1,1200600,1200613,1608666010,1611056777,1612257377,gpuNode1
job75,8000000,8,1,1200600,1200609,1608666163,1611057186,1612257786,gpuNode1
job74,8000000,8,1,1200600,1200621,1608666122,1611057186,1612257786,gpuNode1
job103,16000000,8,0,518400,518405,1609287176,1612053217,1612571617,computeNode1
job105,16000000,8,0,518400,518412,1609287228,1612053217,1612571617,computeNode1
job106,16000000,8,0,518400,518422,1609287248,1612053217,1612571617,computeNode1
job104,16000000,8,0,518400,518412,1609287199,1612053217,1612571617,computeNode1
job102,120000000,32,2,619200,579012,1609285143,1612053217,1612632229,gpuNode1
job112,84000000,6,0,432000,383703,1609350964,1612257786,1612641489,computeNode1
